성별,연령대,몸무게,운동경력,운동목적,운동종목,추천무게(kg),추천횟수,추천세트수,쉬는시간(초)
남성,50대,59.5,상급자,재활/건강,벤치프레스,22.5,17,2,117
여성,20대,53.7,중급자,스트렝스,루마니안 데드리프트,25.0,5,4,134
여성,50대,59.0,상급자,다이어트,체스트 프레스 머신,40.0,19,3,32
여성,60대 이상,57.4,상급자,다이어트,인클라인 덤벨 프레스,25.0,16,3,53
여성,10대,55.6,중급자,재활/건강,바벨 스쿼트,7.5,17,2,118
남성,30대,71.1,중급자,다이어트,페이스 풀,30.0,17,3,38
여성,20대,61.0,상급자,다이어트,레그 익스텐션 머신,40.0,16,3,52
남성,50대,74.5,중급자,근비대,레그 프레스 머신,70.0,8,4,73
여성,60대 이상,58.7,중급자,근비대,사이드 레터럴 레이즈,22.5,12,4,72
남성,20대,78.6,초보자,근비대,페이스 풀,25.0,12,3,66
남성,60대 이상,55.9,초보자,다이어트,인클라인 덤벨 프레스,12.5,16,3,31
남성,30대,74.5,초보자,재활/건강,벤치프레스,10.0,15,3,110
남성,20대,96.9,초보자,근비대,오버헤드 프레스,30.0,11,4,64
남성,30대,86.1,초보자,재활/건강,오버헤드 프레스,12.5,19,3,100
여성,10대,54.7,상급자,다이어트,어시스트 풀업 머신,35.0,16,3,47
남성,30대,66.3,중급자,다이어트,펙덱 플라이 머신,45.0,20,3,47
남성,30대,84.4,초보자,스트렝스,사이드 레터럴 레이즈,30.0,3,4,172
남성,20대,60.6,중급자,스트렝스,레그 프레스 머신,67.5,3,5,128
여성,60대 이상,52.8,초보자,다이어트,바벨 로우,7.5,18,3,40
남성,40대,64.4,상급자,근비대,숄더 프레스 머신,92.5,9,3,82
여성,50대,49.1,초보자,다이어트,루마니안 데드리프트,7.5,19,3,36
여성,40대,43.8,중급자,재활/건강,루마니안 데드리프트,7.5,18,3,108
남성,60대 이상,73.9,상급자,스트렝스,오버헤드 프레스,82.5,5,4,142
남성,20대,72.3,중급자,재활/건강,워킹 런지,17.5,15,2,116
여성,30대,43.5,중급자,재활/건강,오버헤드 프레스,7.5,18,2,100
여성,30대,60.9,초보자,스트렝스,숄더 프레스 머신,20.0,3,5,170
남성,10대,82.8,중급자,재활/건강,랫 풀다운 머신,37.5,18,2,108
여성,10대,58.1,초보자,근비대,레그 컬 머신,17.5,8,3,82
남성,20대,77.2,상급자,스트렝스,레그 익스텐션 머신,120.0,4,5,178
남성,60대 이상,74.7,초보자,근비대,워킹 런지,22.5,12,4,69
여성,60대 이상,52.1,중급자,재활/건강,시티드 로우 머신,15.0,18,2,95
남성,10대,74.3,상급자,재활/건강,레그 프레스 머신,45.0,15,3,113
여성,60대 이상,56.5,상급자,재활/건강,레그 익스텐션 머신,22.5,18,3,94
여성,10대,52.4,상급자,근비대,인클라인 덤벨 프레스,32.5,12,4,66
여성,10대,55.9,상급자,재활/건강,바벨 스쿼트,17.5,15,3,97
남성,60대 이상,84.6,중급자,재활/건강,체스트 프레스 머신,35.0,19,2,118
남성,50대,90.2,중급자,스트렝스,사이드 레터럴 레이즈,62.5,3,5,165
남성,20대,42.0,초보자,스트렝스,숄더 프레스 머신,25.0,5,5,153
남성,20대,74.3,초보자,재활/건강,숄더 프레스 머신,15.0,20,3,118
남성,50대,70.2,상급자,다이어트,레그 프레스 머신,67.5,20,3,31
남성,60대 이상,63.0,중급자,근비대,루마니안 데드리프트,37.5,9,4,81
여성,30대,58.6,중급자,스트렝스,레그 컬 머신,40.0,3,5,177
여성,10대,48.8,상급자,재활/건강,인클라인 덤벨 프레스,15.0,19,3,108
남성,10대,63.7,상급자,다이어트,레그 익스텐션 머신,67.5,15,3,53
남성,30대,78.7,중급자,스트렝스,페이스 풀,55.0,3,5,140
남성,40대,70.1,상급자,다이어트,레그 익스텐션 머신,65.0,20,3,41
여성,60대 이상,66.1,상급자,스트렝스,워킹 런지,45.0,5,5,135
여성,10대,65.7,초보자,근비대,어시스트 풀업 머신,20.0,11,4,78
남성,40대,82.0,중급자,재활/건강,벤치프레스,22.5,16,3,104
남성,30대,90.7,상급자,다이어트,사이드 레터럴 레이즈,60.0,20,3,50
여성,30대,62.7,초보자,스트렝스,바벨 스쿼트,12.5,3,4,142
여성,20대,48.1,상급자,근비대,레그 컬 머신,40.0,8,4,76
여성,30대,59.4,초보자,스트렝스,레그 익스텐션 머신,20.0,4,5,121
남성,60대 이상,81.6,초보자,다이어트,오버헤드 프레스,20.0,17,3,43
남성,20대,93.8,상급자,다이어트,랫 풀다운 머신,85.0,19,3,31
여성,40대,37.6,초보자,근비대,시티드 로우 머신,10.0,12,3,60
남성,40대,91.4,초보자,스트렝스,랫 풀다운 머신,50.0,4,4,120
남성,60대 이상,79.0,상급자,재활/건강,인클라인 덤벨 프레스,32.5,15,3,106
여성,40대,54.6,중급자,다이어트,숄더 프레스 머신,22.5,20,3,44
여성,40대,54.4,중급자,다이어트,바벨 스쿼트,15.0,19,3,35
남성,40대,90.2,중급자,근비대,페이스 풀,52.5,11,4,64
여성,60대 이상,71.1,중급자,근비대,펙덱 플라이 머신,42.5,12,3,89
남성,40대,68.0,상급자,스트렝스,루마니안 데드리프트,77.5,5,4,141
남성,20대,67.6,초보자,다이어트,시티드 로우 머신,22.5,15,3,48
남성,60대 이상,67.6,초보자,스트렝스,페이스 풀,22.5,5,4,159
남성,50대,60.2,상급자,재활/건강,체스트 프레스 머신,37.5,20,3,96
남성,60대 이상,93.4,중급자,다이어트,바벨 로우,40.0,15,3,47
여성,10대,68.2,초보자,근비대,레그 컬 머신,17.5,11,4,75
여성,60대 이상,61.7,중급자,근비대,체스트 프레스 머신,32.5,12,3,90
여성,60대 이상,53.6,상급자,스트렝스,숄더 프레스 머신,60.0,5,5,136
남성,40대,73.5,중급자,재활/건강,벤치프레스,17.5,16,2,104
남성,30대,78.6,초보자,근비대,인클라인 덤벨 프레스,22.5,9,4,61
남성,10대,71.9,초보자,근비대,시티드 로우 머신,30.0,12,3,88
남성,60대 이상,71.2,초보자,재활/건강,바벨 스쿼트,10.0,18,3,98
남성,10대,104.5,상급자,근비대,바벨 스쿼트,92.5,8,3,60
남성,30대,75.4,중급자,재활/건강,체스트 프레스 머신,30.0,17,3,118
여성,30대,60.4,초보자,다이어트,숄더 프레스 머신,12.5,20,3,49
남성,40대,69.4,상급자,근비대,벤치프레스,60.0,9,4,86
여성,30대,47.8,초보자,재활/건강,시티드 로우 머신,5.0,20,2,105
여성,30대,56.5,상급자,재활/건강,레그 프레스 머신,25.0,19,3,100
남성,60대 이상,73.9,초보자,스트렝스,레그 프레스 머신,40.0,3,4,142
여성,40대,57.4,상급자,근비대,루마니안 데드리프트,32.5,9,3,76
여성,50대,51.3,초보자,근비대,레그 익스텐션 머신,15.0,10,4,77
남성,30대,61.1,상급자,스트렝스,숄더 프레스 머신,95.0,4,4,175
여성,50대,40.9,상급자,재활/건강,체스트 프레스 머신,17.5,19,3,98
여성,60대 이상,54.8,중급자,근비대,루마니안 데드리프트,20.0,8,3,72
여성,20대,40.3,중급자,근비대,벤치프레스,15.0,12,4,62
남성,50대,71.4,상급자,재활/건강,워킹 런지,30.0,18,3,117
여성,60대 이상,65.1,중급자,재활/건강,레그 컬 머신,15.0,16,3,116
여성,30대,62.4,초보자,재활/건강,레그 익스텐션 머신,7.5,16,3,99
남성,10대,68.5,상급자,근비대,레그 프레스 머신,97.5,9,3,65
남성,40대,65.5,중급자,다이어트,바벨 스쿼트,30.0,15,3,49
여성,20대,55.4,중급자,스트렝스,벤치프레스,25.0,4,5,151
남성,30대,83.3,초보자,스트렝스,숄더 프레스 머신,47.5,3,4,179
남성,30대,66.3,상급자,재활/건강,체스트 프레스 머신,42.5,17,2,96
남성,40대,79.4,중급자,스트렝스,시티드 로우 머신,80.0,5,4,133
여성,20대,52.9,초보자,근비대,워킹 런지,10.0,10,3,76
여성,20대,59.7,초보자,근비대,인클라인 덤벨 프레스,10.0,12,3,86
여성,40대,53.5,중급자,근비대,어시스트 풀업 머신,30.0,8,3,61
여성,50대,58.2,초보자,재활/건강,숄더 프레스 머신,7.5,15,3,116
남성,30대,66.1,초보자,재활/건강,사이드 레터럴 레이즈,10.0,15,3,91
여성,30대,52.1,중급자,재활/건강,숄더 프레스 머신,12.5,20,2,103
남성,30대,71.0,상급자,스트렝스,인클라인 덤벨 프레스,72.5,4,5,159
여성,30대,65.7,상급자,재활/건강,랫 풀다운 머신,27.5,18,3,114
남성,30대,67.9,상급자,재활/건강,레그 익스텐션 머신,42.5,19,3,95
남성,60대 이상,68.1,중급자,재활/건강,워킹 런지,17.5,15,3,102
남성,60대 이상,91.4,중급자,다이어트,어시스트 풀업 머신,62.5,17,3,46
남성,30대,71.3,초보자,재활/건강,레그 익스텐션 머신,15.0,15,2,101
남성,20대,68.0,상급자,재활/건강,바벨 로우,30.0,16,3,105
여성,50대,57.6,중급자,스트렝스,숄더 프레스 머신,37.5,5,5,174
남성,50대,87.1,상급자,다이어트,레그 프레스 머신,80.0,16,3,40
남성,10대,73.5,상급자,다이어트,레그 익스텐션 머신,77.5,15,3,38
여성,30대,53.0,초보자,근비대,사이드 레터럴 레이즈,10.0,10,3,70
남성,60대 이상,91.3,중급자,스트렝스,레그 익스텐션 머신,97.5,4,4,146
여성,50대,56.1,중급자,재활/건강,오버헤드 프레스,10.0,15,3,96
여성,30대,68.4,중급자,스트렝스,인클라인 덤벨 프레스,30.0,3,4,135
남성,40대,59.4,중급자,재활/건강,레그 익스텐션 머신,27.5,15,3,112
여성,60대 이상,57.2,초보자,재활/건강,페이스 풀,5.0,20,3,101
여성,50대,54.8,중급자,재활/건강,체스트 프레스 머신,15.0,17,3,95
남성,60대 이상,78.0,초보자,근비대,펙덱 플라이 머신,35.0,12,4,87
남성,50대,70.5,초보자,스트렝스,벤치프레스,25.0,4,4,135
여성,20대,52.8,초보자,재활/건강,바벨 로우,5.0,19,3,112
남성,20대,69.2,초보자,다이어트,벤치프레스,15.0,18,3,30
여성,40대,63.9,상급자,재활/건강,시티드 로우 머신,27.5,19,2,94
남성,20대,88.4,상급자,다이어트,바벨 로우,60.0,15,3,53
여성,10대,58.3,상급자,재활/건강,레그 익스텐션 머신,27.5,15,2,98
여성,40대,62.8,중급자,다이어트,숄더 프레스 머신,27.5,20,3,60
여성,30대,65.7,초보자,스트렝스,레그 익스텐션 머신,22.5,3,5,142
여성,40대,52.2,중급자,스트렝스,시티드 로우 머신,35.0,3,5,176
남성,60대 이상,71.0,상급자,다이어트,레그 프레스 머신,77.5,15,3,57
남성,40대,76.8,초보자,다이어트,바벨 로우,17.5,19,3,40
남성,60대 이상,73.4,초보자,재활/건강,레그 컬 머신,17.5,17,3,116
여성,40대,56.8,초보자,근비대,사이드 레터럴 레이즈,10.0,10,3,70
여성,20대,52.1,상급자,다이어트,벤치프레스,22.5,18,3,44
남성,40대,72.6,초보자,스트렝스,워킹 런지,25.0,4,4,145
남성,50대,74.4,초보자,다이어트,체스트 프레스 머신,25.0,16,3,56
여성,30대,65.4,중급자,다이어트,벤치프레스,17.5,16,3,50
여성,20대,53.8,중급자,재활/건강,벤치프레스,10.0,19,2,114
남성,50대,71.6,상급자,스트렝스,레그 컬 머신,110.0,5,4,168
남성,10대,68.5,중급자,근비대,랫 풀다운 머신,60.0,12,4,90
여성,60대 이상,49.7,상급자,근비대,숄더 프레스 머신,42.5,8,4,81
남성,40대,67.2,중급자,다이어트,사이드 레터럴 레이즈,30.0,17,3,49
남성,50대,72.6,중급자,다이어트,벤치프레스,32.5,20,3,37
남성,30대,77.2,상급자,재활/건강,랫 풀다운 머신,50.0,18,3,116
여성,60대 이상,49.5,상급자,스트렝스,페이스 풀,37.5,4,4,174
남성,60대 이상,62.7,중급자,근비대,어시스트 풀업 머신,57.5,8,4,69
남성,60대 이상,66.7,중급자,다이어트,체스트 프레스 머신,42.5,18,3,42
여성,40대,55.4,중급자,재활/건강,루마니안 데드리프트,10.0,15,2,101
여성,20대,53.6,중급자,스트렝스,벤치프레스,22.5,5,4,149
남성,10대,90.6,중급자,재활/건강,오버헤드 프레스,22.5,17,3,96
여성,60대 이상,50.9,중급자,다이어트,랫 풀다운 머신,22.5,18,3,52
남성,60대 이상,82.5,상급자,재활/건강,바벨 스쿼트,35.0,15,3,108
남성,10대,54.8,상급자,재활/건강,숄더 프레스 머신,32.5,20,2,106
여성,20대,63.1,초보자,재활/건강,랫 풀다운 머신,7.5,17,2,96
여성,50대,50.7,상급자,재활/건강,벤치프레스,12.5,17,2,104
여성,60대 이상,55.4,중급자,재활/건강,체스트 프레스 머신,12.5,18,2,93
여성,10대,59.7,초보자,스트렝스,펙덱 플라이 머신,20.0,3,4,139
여성,10대,51.6,초보자,근비대,오버헤드 프레스,10.0,9,4,81
여성,50대,54.2,초보자,재활/건강,숄더 프레스 머신,7.5,19,2,106
여성,60대 이상,60.1,초보자,스트렝스,레그 컬 머신,20.0,3,4,180
남성,40대,85.1,초보자,다이어트,워킹 런지,20.0,18,3,60
여성,60대 이상,44.9,상급자,근비대,레그 프레스 머신,40.0,11,3,80
여성,30대,61.5,상급자,근비대,오버헤드 프레스,40.0,12,3,78
여성,10대,49.4,상급자,근비대,랫 풀다운 머신,47.5,12,4,63
여성,10대,62.1,초보자,다이어트,인클라인 덤벨 프레스,7.5,19,3,48
남성,60대 이상,78.2,중급자,스트렝스,레그 컬 머신,82.5,3,5,159
남성,30대,72.8,상급자,재활/건강,레그 익스텐션 머신,47.5,16,2,105
여성,30대,60.0,상급자,재활/건강,숄더 프레스 머신,27.5,15,2,101
여성,10대,42.6,초보자,근비대,인클라인 덤벨 프레스,7.5,8,3,64
남성,20대,85.1,상급자,재활/건강,시티드 로우 머신,47.5,15,2,116
여성,50대,69.8,상급자,근비대,페이스 풀,45.0,8,3,65
남성,10대,75.0,초보자,스트렝스,랫 풀다운 머신,40.0,4,5,127
여성,20대,52.3,상급자,스트렝스,시티드 로우 머신,57.5,4,5,150
남성,60대 이상,71.8,상급자,다이어트,레그 익스텐션 머신,72.5,20,3,36
여성,20대,58.8,중급자,재활/건강,레그 프레스 머신,15.0,18,3,105
여성,10대,62.2,중급자,재활/건강,벤치프레스,12.5,18,2,93
여성,20대,53.5,상급자,다이어트,벤치프레스,25.0,16,3,53
남성,40대,72.8,상급자,재활/건강,바벨 로우,35.0,19,2,92
여성,30대,65.7,초보자,근비대,오버헤드 프레스,12.5,12,3,83
남성,30대,57.9,상급자,스트렝스,사이드 레터럴 레이즈,65.0,4,4,169
여성,60대 이상,69.6,초보자,재활/건강,레그 프레스 머신,10.0,18,3,113
여성,50대,54.5,상급자,재활/건강,레그 프레스 머신,25.0,19,3,117
남성,60대 이상,75.2,초보자,근비대,사이드 레터럴 레이즈,22.5,8,3,78
남성,20대,91.8,초보자,스트렝스,체스트 프레스 머신,50.0,4,4,178
